species_code,name_en,scientific_name,status,regions,temp_optimal_min,temp_optimal_max,temp_tolerance_min,temp_tolerance_max,salinity_optimal_min,salinity_optimal_max,salinity_tolerance_min,salinity_tolerance_max,depth_optimal_min,depth_optimal_max,depth_tolerance_min,depth_tolerance_max,habitat_preferred,spawning_months,feeding_peak_months,regional_gates,shore_suitable,boat_suitable,notes
wrb,"Ballan Wrasse","Labrus bergylta",has_regional_data,"Atlantic; North Sea (west); Mediterranean fringe",,,,,,,,,,,,,,,,,,,"Rocky headlands and kelp gullies right under your feet, 2–15 m. | "
bll,"Brill","Scophthalmus rhombus",has_regional_data,"North Sea; North Atlantic",,,,,,,,,,,,,,,,,,,"Clean sand and shell 5–40 m from beaches and boats. | Sandbanks and sloping edges 10–60 m—classic drift tactics."
BUH,"Bull Huss","Scyliorhinus stellaris",has_regional_data,"Atlantic rough ground/kelp gullies; Reefs/wrecks 20-100 m",,,,,,,,,,,,,,,,,,,"Rocky ledges 5-20 m | 20-100 m"
CMB,"Comber","Serranus cabrilla",has_regional_data,"Mediterranean & S Iberia; Med reefs/wrecks",,,,,,,,,,,,,,,,,,,"Harbours, reefs 2-20 m | 10-80 m"
cut,"Common Cuttlefish","Sepia officinalis",has_regional_data,"Atlantic (Iberia/France/UK); Mediterranean",,,,,,,,,,,,,,,,,,,"Harbour walls, marinas and sandy patches 2–15 m—classic pier species. | Sandy bays and reefs 10–40 m; gentle drifts over weed/sand edges."
lin,"Common Ling","Molva molva",has_regional_data,"North Atlantic; North Sea; Norwegian waters",,,,,,,,,,,,,,,,,,,"From deep rock ledges within casting reach to wrecks 50–200 m. | Wrecks, pinnacles and heavy reef 80–300 m; big baits on strong gear."
oct,"Common Octopus","Octopus vulgaris",has_regional_data,"Atlantic (Iberia); Mediterranean",,,,,,,,,,,,,,,,,,,"Breakwaters, harbour walls and rough patches 2–20 m—classic pier target at night. | Reefs and rough ground 10–40 m; slow-drift jigs over boulders and weed."
CSH,"Common Smoothhound","Mustelus mustelus",has_regional_data,"SE/SW Europe; Med and Atlantic; Banks/edges 10-60 m",,,,,,,,,,,,,,,,,,,"Clean/mixed ground 3-15 m | 10-60 m"
sqc,"Common Squid","Loligo vulgaris",has_regional_data,"Atlantic; Mediterranean",,,,,,,,,,,,,,,,,,,"From harbour walls to 5–30 m; over sand/weed beds. (shore accessible range) | From harbour walls to 5–30 m; over sand/weed beds. (boat marks deeper/offshore)"
con,"Conger Eel","Conger conger",has_regional_data,"Atlantic; Mediterranean; English Channel",,,,,,,,,,,,,,,,,,,"Harbour walls, rocky gullies; 5–30 m. | Deep wrecks/reefs 30–100 m."
WRK,"Corkwing Wrasse","Symphodus melops",has_regional_data,"Atlantic fringes; Channel; W Europe; Inshore reefs/kelp beds",,,,,,,,,,,,,,,,,,,"Right under boulders/kelp, 1-10 m | Reefs 5-25 m"
wrc,"Cuckoo Wrasse","Labrus mixtus",has_regional_data,"North Atlantic; North Sea (west)",,,,,,,,,,,,,,,,,,,"Rocky points and reefs in 5–25 m; piers with kelp beds can hold them. | "
dab,"Dab","Limanda limanda",has_regional_data,"Atlantic; North Sea",,,,,,,,,,,,,,,,,,,"Beaches, piers, sandy ground 2–20m | Soft muddy seabeds 20–40m"
dex,"Dentex","Dentex dentex",has_regional_data,"Mediterranean",,,,,,,,,,,,,,,,,,," | Deep rocky reefs 20–100m"
fgm,"Flathead Grey Mullet","Mugil cephalus",has_regional_data,"Atlantic; Mediterranean",,,,,,,,,,,,,,,,,,,"Harbours, estuaries, surf zones 0–10m | "
fle,"Flounder","Platichthys flesus",has_regional_data,"North Sea; Baltic; Atlantic",,,,,,,,,,,,,,,,,,,"Very close in on sand/mud; 0–20 m (estuaries to open beaches). (shore accessible range) | Very close in on sand/mud; 0–20 m (estuaries to open beaches). (boat marks deeper/offshore)"
gar,"Garfish (Needlefish)","Belone belone",has_regional_data,"Atlantic; North Sea; Baltic",,,,,,,,,,,,,,,,,,,"Surface layers 0–5 m; close to piers/headlands. (shore accessible range) | Surface layers 0–5 m; close to piers/headlands. (boat marks deeper/offshore)"
WRG,"Goldsinny Wrasse","Ctenolabrus rupestris",has_regional_data,"NE Atlantic; Channel; Shallow reefs/weed beds",,,,,,,,,,,,,,,,,,,"Harbour walls/kelp edges 1-8 m | 1-15 m"
gaj,"Greater Amberjack","Seriola dumerili",has_regional_data,"Mediterranean; Southern Atlantic (Iberia)",,,,,,,,,,,,,,,,,,,"Rocky headlands and harbour mouths from shore when bait is in; offshore reefs/pins 20–80 m. | Offshore reefs, wrecks and pinnacles 20–150 m; slow-troll or jig."
wee,"Greater Weever","Trachinus draco",has_regional_data,"Atlantic; North Sea; Mediterranean",,,,,,,,,,,,,,,,,,,"Edges of sandy beaches and estuary bars 1–15 m—watch those spines underfoot! | "
GGR,"Grey Gurnard","Eutrigla gurnardus",has_regional_data,"North Sea/Atlantic; Banks 20-120 m",,,,,,,,,,,,,,,,,,,"5-20 m | 20-120 m"
mug,"Grey Mullet","Chelon labrosus",has_regional_data,"Atlantic; Mediterranean",,,,,,,,,,,,,,,,,,,"Harbours, marinas, surf edges; 0–10 m. (shore accessible range) | Harbours, marinas, surf edges; 0–10 m. (boat marks deeper/offshore)"
jod,"John Dory","Zeus faber",has_regional_data,"Atlantic; Mediterranean",,,,,,,,,,,,,,,,,,,"Reefs/wrecks 20–150 m; occasional inshore. (shore accessible range) | Reefs/wrecks 20–150 m; occasional inshore. (boat marks deeper/offshore)"
lta,"Little Tunny","Euthynnus alletteratus",has_regional_data,"Mediterranean; Atlantic Iberia",,,,,,,,,,,,,,,,,,,"Headlands, harbour mouths and nearshore rips from shore; offshore feeding lanes by boat. | Nearshore to offshore rips and temperature breaks; troll or run-and-gun where birds work."
