;;Top level;Additional top level;Level 2;Level 2;Level 2;
;"""Running""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Active Sports (Team Sports, Individual Sports, Water Sports);Fitness;;;
;"""Trail Running""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Road Cycling""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Mountain Biking""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;Action Sports;;
;"""Fly Fishing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Fishing;;;;
;"""Gardening""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Surfing""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Action Sports;;
;"""Hiking""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;
;"""Skiing""";Active Sports (Team Sports, Individual Sports, Water Sports);Winter Sports;Winter Sports;Action Sports;;
;"""Birdwatching""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Coarse and Carp Fishing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Fishing;Nature Activities;Primary Categories:;
;"""Football (Soccer)""";Active Sports (Team Sports, Individual Sports, Water Sports);;Team Sports;;;
;"""Kayaking""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Action Sports;;
;"""Rock Climbing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Fitness → Running, Weightlifting, Cycling, Swimming;Action Sports;;
;"""Golf""";Active Sports (Team Sports, Individual Sports, Water Sports);;Individual Sports;;;
;"""Tennis""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Beach Volleyball""";Active Sports (Team Sports, Individual Sports, Water Sports);;Team Sports;;;
;"""Horse Riding""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Individual Sports;Nature Activities;;
;"""Ice Skating""";Active Sports (Team Sports, Individual Sports, Water Sports);Indoor Recreation;Winter Sports;Skating;;
;"""Cross-Country Skiing""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Winter Sports;Action Sports;;
;"""Kayaking""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Nature Activities;;
;"""Picnicking""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""BBQ""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;;Home and Family;;
;"""Geocaching""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Shore Fishing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Fishing;Nature Activities;;
;"""Boat Fishing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Fishing;Nature Activities;;
;"""Foraging""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Archery""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Individual Sports;;;
;"""Orienteering""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Individual Sports;;;
;"""Rock Hopping""";;;;;;
;"""Snorkeling""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Nature Activities;;
;"""Paddleboarding""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Nature Activities;;
;"""Wild Swimming""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Nature Activities;;
;"""Tennis (Indoor)""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Gym Workout""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Yoga""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;Mindfulness;;;
;"""Pilates""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;Mindfulness;;;
;"""Indoor Climbing""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Squash""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Badminton""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;;;
;"""Table Tennis""";Active Sports (Team Sports, Individual Sports, Water Sports);Indoor Recreation;Individual Sports;Home and Family;;
;"""Indoor Swimming""";Active Sports (Team Sports, Individual Sports, Water Sports);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Individual Sports;Fitness;;
;"""Dance""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Creative & Crafts;Music;;;
;"""Go for a Walk""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Nature Activities;Home and Family;;
;"""Mushroom Hunting""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Snowboarding""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Winter Sports;Skating;Action Sports;
;"""Ice Fishing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Winter Sports;;;
;"""Photography""";Creative & Crafts;Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Home and Family;;
;"""Beekeeping""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Trail Hunting""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Camping""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Knitting""";Creative & Crafts;;;Home and Family;;
;"""Tai Chi""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;;
;"""Martial Arts""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;;
;"""Meditation""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;Home and Family;;
;"""Reading""";Creative & Crafts;;;Home and Family;;
;"""Going to the Pub""";Indoor Recreation;;;Home and Family;;
;"""Painting""";Creative & Crafts;;;;;
;"""DIY""";Indoor Recreation;;;Home and Family;;
;"""Crafts""";Creative & Crafts;;;Home and Family;;
;"""Playing Records""";Creative & Crafts;Indoor Recreation;Music;Home and Family;;
;"""Make Music""";Creative & Crafts;Indoor Recreation;Music;Home and Family;;
