scientific_name,opt_min,opt_max,min_depth,max_depth,depth_source
Ammodytes tobianus,8,33,8,33,OBIS p25–p75
Argyrosomus regius,13.5,18,13.5,18,OBIS p25–p75
Belone belone,13,128,13,128,OBIS p25–p75
Boops boops,17,82,17,82,OBIS p25–p75
Centrolabrus exoletus,10.7,21,10.7,21,OBIS p25–p75
Chelidonichthys cuculus,55,91,55,91,OBIS p25–p75
Chelidonichthys lucerna,18,40,18,40,OBIS p25–p75
Chelon labrosus,5,19,5,19,OBIS p25–p75
Clupea harengus,24,70,24,70,OBIS p25–p75
Conger conger,29.5,111.5,29.5,111.5,OBIS p25–p75
Ctenolabrus rupestris,8,18.35,8,18.35,OBIS p25–p75
Dentex dentex,6,44,6,44,OBIS p25–p75
Dicentrarchus labrax,11,39,11,39,OBIS p25–p75
Dicentrarchus punctatus,14,16.5,14,16.5,OBIS p25–p75
Diplodus sargus,5,15,5,15,OBIS p25–p75
Diplodus vulgaris,10,46.73,10,46.73,OBIS p25–p75
Epinephelus aeneus,24,70.5,24,70.5,OBIS p25–p75
Epinephelus marginatus,5,10,5,10,OBIS p25–p75
Euthynnus alletteratus,22.23,592.5,22.23,592.5,OBIS p25–p75
Eutrigla gurnardus,41,92,41,92,OBIS p25–p75
Gadus morhua,25,105,25,105,OBIS p25–p75
Labrus bergylta,8,19,8,19,OBIS p25–p75
Labrus mixtus,14,24.45,14,24.45,OBIS p25–p75
Lepidorhombus whiffiagonis,72,150,72,150,OBIS p25–p75
Lichia amia,4,21.55,4,21.55,OBIS p25–p75
Limanda limanda,21,61,21,61,OBIS p25–p75
Loligo vulgaris,15.5,45,15.5,45,OBIS p25–p75
Melanogrammus aeglefinus,44,115,44,115,OBIS p25–p75
Merlangius merlangus,33,93,33,93,OBIS p25–p75
Molva molva,86,160.39,86,160.39,OBIS p25–p75
Mugil cephalus,0.25,0.7,0.25,0.7,OBIS p25–p75
Mullus surmuletus,19,68,19,68,OBIS p25–p75
Mustelus asterias,31,68,31,68,OBIS p25–p75
Mustelus mustelus,33,77.5,33,77.5,OBIS p25–p75
Oblada melanurus,5,14,5,14,OBIS p25–p75
Octopus vulgaris,40.22,90,40.22,90,OBIS p25–p75
Pagellus bogaraveo,80,382,80,382,OBIS p25–p75
Pagellus erythrinus,30.5,71,30.5,71,OBIS p25–p75
Pagrus pagrus,31,76.5,31,76.5,OBIS p25–p75
Platichthys flesus,15.5,33.5,15.5,33.5,OBIS p25–p75
Pleuronectes platessa,19,45,19,45,OBIS p25–p75
Pollachius pollachius,13,85,13,85,OBIS p25–p75
Pollachius virens,50.5,154,50.5,154,OBIS p25–p75
Pomatomus saltatrix,8,33,8,33,OBIS p25–p75
Raja clavata,23,75,23,75,OBIS p25–p75
Raja microocellata,26,41.5,26,41.5,OBIS p25–p75
Raja montagui,36,71.96,36,71.96,OBIS p25–p75
Raja undulata,14,32.5,14,32.5,OBIS p25–p75
Salmo trutta,4,25,4,25,OBIS p25–p75
Sarda sarda,24,180,24,180,OBIS p25–p75
Sardina pilchardus,21,59.5,21,59.5,OBIS p25–p75
Sarpa salpa,2,7.5,2,7.5,OBIS p25–p75
Scomber colias,19,54.5,19,54.5,OBIS p25–p75
Scomber scombrus,61,247,61,247,OBIS p25–p75
Scophthalmus maximus,12,27,12,27,OBIS p25–p75
Scophthalmus rhombus,9.5,31,9.5,31,OBIS p25–p75
Scorpaena scrofa,45,88,45,88,OBIS p25–p75
Scyliorhinus canicula,46,86.5,46,86.5,OBIS p25–p75
Scyliorhinus stellaris,22,58.4,22,58.4,OBIS p25–p75
Sepia officinalis,0,52,0,52,OBIS p25–p75
Seriola dumerili,15,52.8,15,52.8,OBIS p25–p75
Serranus cabrilla,15.5,80,15.5,80,OBIS p25–p75
Serranus scriba,2,15.5,2,15.5,OBIS p25–p75
Solea solea,14.5,35,14.5,35,OBIS p25–p75
Sparisoma cretense,6,14.5,6,14.5,OBIS p25–p75
Sparus aurata,6.28,40,6.28,40,OBIS p25–p75
Sphyraena sphyraena,17.5,51.5,17.5,51.5,OBIS p25–p75
Sphyraena viridensis,5,13,5,13,OBIS p25–p75
Spicara smaris,47,87.86,47,87.86,OBIS p25–p75
Spondyliosoma cantharus,13,27,13,27,OBIS p25–p75
Sprattus sprattus,23,46,23,46,OBIS p25–p75
Symphodus melops,5.69,8,5.69,8,OBIS p25–p75
Trachinus draco,13,33,13,33,OBIS p25–p75
Trachurus mediterraneus,15.5,65,15.5,65,OBIS p25–p75
Trachurus trachurus,42,140,42,140,OBIS p25–p75
Zeus faber,51,100,51,100,OBIS p25–p75
