scientific_name
Ammodytes tobianus
Argyrosomus regius
Belone belone
Boops boops
Centrolabrus exoletus
Chelidonichthys cuculus
Chelidonichthys lucerna
Chelon labrosus
Clupea harengus
Conger conger
Ctenolabrus rupestris
Dentex dentex
Dicentrarchus labrax
Dicentrarchus punctatus
Diplodus sargus
Diplodus vulgaris
Epinephelus aeneus
Epinephelus marginatus
Euthynnus alletteratus
Eutrigla gurnardus
Gadus morhua
Gilthead Seabream
Labridae spp.
Labrus bergylta
Labrus mixtus
Lepidorhombus whiffiagonis
Lichia amia
Limanda limanda
Loligo vulgaris
Melanogrammus aeglefinus
Merlangius merlangus
Molva molva
Mugil cephalus
Mullus surmuletus
Mustelus asterias
Mustelus mustelus
Oblada melanura
Octopus vulgaris
Pagellus bogaraveo
Pagellus erythrinus
Pagrus pagrus
Platichthys flesus
Pleuronectes platessa
Pollachius pollachius
Pollachius virens
Pomatomus saltatrix
Raja clavata
Raja microocellata
Raja montagui
Raja undulata
Saithe/Pollock
Salmo trutta
Sarda sarda
Sardina pilchardus
Sarpa salpa
Scomber colias
Scomber scombrus
Scophthalmus maximus
Scophthalmus rhombus
Scorpaena scrofa
Scyliorhinus canicula
Scyliorhinus stellaris
Sepia officinalis
Seriola dumerili
Serranus cabrilla
Serranus scriba
Solea solea
Sparisoma cretense
Sparus aurata
Sphyraena sphyraena
Sphyraena viridensis
Spicara smaris
Spondyliosoma cantharus
Sprattus sprattus
Symphodus melops
Trachinus draco
Trachurus mediterraneus
Trachurus trachurus
Zeus faber
