scientific_name,proposed_inat_taxon_id,status,note
Spicara smaris,118712,resolved_exact,matched Spicara smaris
Symphodus melops,113533,resolved_exact,matched Symphodus melops
Sphyraena sphyraena,47255,resolved_best_guess,closest Sphyraena barracuda
Labridae spp.,49284,resolved_exact,no candidates
Pagrus pagrus,108196,resolved_exact,matched Pagrus pagrus
Trachinus draco,118652,resolved_exact,matched Trachinus draco
Serranus scriba,118674,resolved_exact,matched Serranus scriba
Diplodus vulgaris,118667,resolved_exact,matched Diplodus vulgaris
Pagellus bogaraveo,118657,resolved_exact,matched Pagellus bogaraveo
Scomber colias,69841,resolved_exact,matched Scomber colias
Pollachius virens,228496,resolved_exact,matched Pollachius virens
Sardina pilchardus,118600,resolved_exact,matched Sardina pilchardus
Sparisoma cretense,112860,resolved_exact,matched Sparisoma cretense
Labrus bergylta,103911,resolved_exact,matched Labrus bergylta
Loligo vulgaris,324558,resolved_exact,matched Loligo vulgaris
Sparus aurata,1494783,resolved_exact,matched Sparus aurata
Trachurus mediterraneus,118694,resolved_exact,matched Trachurus mediterraneus
Gadus morhua,63740,resolved_exact,matched Gadus morhua
Sarda sarda,56940,resolved_exact,Matched Sarda sarda
Sarpa salpa,118663,resolved_exact,matched Sarpa salpa
Spondyliosoma cantharus,118655,resolved_exact,matched Spondyliosoma cantharus
Scophthalmus maximus,416585,resolved_exact,matched Scophthalmus maximus
Sprattus sprattus,324532,resolved_exact,matched Sprattus sprattus
Mullus surmuletus,118619,resolved_exact,matched Mullus surmuletus
Pomatomus saltatrix,50984,resolved_exact,matched Pomatomus saltatrix
Mustelus asterias,106253,resolved_exact,matched Mustelus asterias
Scomber scombrus,118678,resolved_exact,matched Scomber scombrus
Euthynnus alletteratus,120614,resolved_exact,matched Euthynnus alletteratus
Chelidonichthys lucerna,118628,resolved_exact,matched Chelidonichthys lucerna
Pleuronectes platessa,47523,resolved_exact,matched Pleuronectes platessa
Mustelus mustelus,56050,resolved_exact,matched Mustelus mustelus
Ctenolabrus rupestris,98753,resolved_exact,matched Ctenolabrus rupestris
Serranus cabrilla,118675,resolved_exact,matched Serranus cabrilla
Sepia officinalis,151429,resolved_exact,matched Sepia officinalis
Molva molva,125291,resolved_exact,matched Molva molva
Gilthead Seabream,1494783,resolved_exact,Matched Sparus aurata
Argyrosomus regius,118679,resolved_exact,matched Argyrosomus regius
Scorpaena scrofa,84861,resolved_exact,matched Scorpaena scrofa
Trachurus trachurus,118695,resolved_exact,matched Trachurus trachurus
Platichthys flesus,109631,resolved_exact,matched Platichthys flesus
Dicentrarchus punctatus,118616,resolved_exact,matched Dicentrarchus punctatus
Epinephelus aeneus,68118,resolved_exact,matched Epinephelus aeneus
Eutrigla gurnardus,118720,resolved_exact,matched Eutrigla gurnardus
Seriola dumerili,51549,resolved_exact,matched Seriola dumerili
Ammodytes tobianus,367966,resolved_exact,matched Ammodytes tobianus
Saithe/Pollock,228496,resolved_exact,Matched Pollachius virens
Dicentrarchus labrax,99269,resolved_exact,matched Dicentrarchus labrax
Conger conger,118589,resolved_exact,matched Conger conger
Salmo trutta,47518,resolved_exact,matched Salmo trutta
Octopus vulgaris,49315,resolved_exact,matched Octopus vulgaris
Raja microocellata,61752,resolved_exact,matched Raja microocellata
Raja clavata,48397,resolved_exact,matched Raja clavata
Epinephelus marginatus,100119,resolved_exact,matched Epinephelus marginatus
Lichia amia,118709,resolved_exact,matched Lichia amia
Limanda limanda,61387,resolved_exact,matched Limanda limanda
Melanogrammus aeglefinus,82351,resolved_exact,matched Melanogrammus aeglefinus
Chelon labrosus,97345,resolved_exact,matched Chelon labrosus
Zeus faber,118622,resolved_exact,matched Zeus faber
Oblada melanura,118662,resolved_best_guess,matched Oblada melanurus
Labrus mixtus,103913,resolved_exact,matched Labrus mixtus
Pagellus erythrinus,118659,resolved_exact,matched Pagellus erythrinus
Solea solea,55396,resolved_exact,matched Solea soles
Scyliorhinus stellaris,112381,resolved_exact,matched Scyliorhinus stellaris
Belone belone,118597,resolved_exact,matched Belone belone
Lepidorhombus whiffiagonis,481840,resolved_exact,matched Lepidorhombus whiffiagonis
Mugil cephalus,106222,resolved_exact,matched Mugil cephalus
Sphyraena viridensis,47260,resolved_exact,matched Sphyraena viridensis
Chelidonichthys cuculus,51543,resolved_exact,matched Chelidonichthys cuculus
Scyliorhinus canicula,112372,resolved_exact,matched Scyliorhinus canicula
Merlangius merlangus,430553,resolved_exact,matched Merlangius merlangus
Raja montagui,111527,resolved_exact,matched Raja montagui
Boops boops,118664,resolved_exact,matched Boops boops
Diplodus sargus,118669,resolved_exact,matched Diplodus sargus
Raja undulata,111535,resolved_exact,matched Raja undulata
Scophthalmus rhombus,118636,resolved_exact,matched Scophthalmus rhombus
Pollachius pollachius,332553,resolved_exact,matched Pollachius pollachius
Centrolabrus exoletus,96913,resolved_exact,matched Centrolabrus exoletus
Clupea harengus,97990,resolved_exact,matched Clupea harengus
Dentex dentex,118654,resolved_exact,matched Dentex dentex
