English Name,Scientific Name,Species Code,Regions,German Name
"Albacore Tuna","Thunnus alalunga","ALB","NE_Pacific; NW_Atlantic",""
"Almaco Jack (Kahala)","Seriola rivoliana","34cd60","Gulf_of_Mexico; Hawaii; NE_Pacific",""
"American Lobster","Homarus americanus","42fd05","NW_Atlantic",""
"Atlantic Bonito","Sarda sarda","BONITO","NW_Atlantic","Pelamide"
"Atlantic Chub Mackerel","Scomber colias","CHUB-MACK","Mediterranean; NE_Atlantic","Bastardmakrele"
"Atlantic Halibut","Hippoglossus hippoglossus","HAL","NW_Atlantic","Atlantischer Heilbutt"
"Atlantic Herring","Clupea harengus","HER","NW_Atlantic","Atlantischer Hering"
"Atlantic Menhaden","Brevoortia tyrannus","MEN","NW_Atlantic",""
"Atlantic Pollock (Saithe)","Pollachius virens","POK","NW_Atlantic","Köhler (Seelachs)"
"Atlantic Salmon","Salmo salar","ATS","Gulf_of_Alaska; NW_Atlantic","Atlantischer Lachs"
"Atlantic Tarpon","Megalops atlanticus","654c4e","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Ballan Wrasse","Labrus bergylta","WRB","Mediterranean; NE_Atlantic","Lippfisch"
"Barred Pargo","Hoplopagrus guentherii","7dc45c","NE_Pacific",""
"Barred Surfperch","Amphistichus argenteus","445f50","NE_Pacific",""
"Barrelfish","Hyperoglyphe perciformis","BARF","NW_Atlantic; US_Atlantic",""
"Bigeye Tuna","Thunnus obesus","BET","Hawaii; NE_Pacific; NW_Atlantic",""
"Black Drum","Pogonias cromis","9d744d","Gulf_of_Mexico; NW_Atlantic",""
"Black Durgon (Triggerfish)","Melichthys niger","820d6c","Hawaii; NE_Pacific",""
"Black Grouper","Mycteroperca bonaci","4b29c0","Caribbean; Gulf_of_Mexico; NW_Atlantic",""
"Black Seabream","Spondyliosoma cantharus","BRS","Mediterranean; NE_Atlantic",""
"Blackbelly Rosefish","Helicolenus dactylopterus","BBR","Gulf_of_Mexico; NW_Atlantic; US_Atlantic",""
"Blackfin Tuna","Thunnus atlanticus","fd782d","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Blacktip Shark","Carcharhinus limbatus","9a2958","Gulf_of_Mexico; NW_Atlantic",""
"Blue Crab","Callinectes sapidus","3c8dd6","Gulf_of_Mexico; NW_Atlantic",""
"Blue Marlin","Makaira nigricans","BUM","Caribbean; Hawaii; NW_Atlantic",""
"Blue Shark","Prionace glauca","9c1c48","NE_Pacific; NW_Atlantic",""
"Bluefin Trevally (Omilu)","Caranx melampygus","8ce959","Hawaii; NE_Pacific",""
"Bluefish","Pomatomus saltatrix","BLUEFISH","NW_Atlantic",""
"Blueline Tilefish","Caulolatilus microps","BLT","Gulf_of_Mexico; US_Atlantic",""
"Bogue","Boops boops","BOGUE","Mediterranean; NE_Atlantic",""
"Bonefish","Albula vulpes","9ef164","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Brill","Scophthalmus rhombus","BLL","NE_Atlantic",""
"Bull Shark","Carcharhinus leucas","ad05cc","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Cabezon","Scorpaenichthys marmoratus","b1d960","NE_Pacific",""
"California Corbina","Menticirrhus undulatus","639928","NE_Pacific",""
"California Sheephead","Semicossyphus pulcher","0162f6","NE_Pacific",""
"California Yellowtail","Seriola lalandi","4f1db2","NE_Pacific",""
"Cero Mackerel","Scomberomorus regalis","ba1ee0","Caribbean; Gulf_of_Mexico; NW_Atlantic",""
"Chum Salmon","Oncorhynchus keta","CHM","Gulf_of_Alaska; NE_Pacific",""
"Cobia","Rachycentron canadum","COB","Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Coho Salmon","Oncorhynchus kisutch","CHO","Gulf_of_Alaska; NE_Pacific",""
"Common Cuttlefish","Sepia officinalis","CUT","Mediterranean; NE_Atlantic","Gemeine Sepia"
