English Name,Scientific Name,Species Code,Regions,French,Spanish,German,Italian,Portuguese
"Albacore Tuna","Thunnus alalunga","ALB","NE_Pacific; NW_Atlantic","Thon albacore","Bonito del norte","","","",""
"Almaco Jack (Kahala)","Seriola rivoliana","34cd60","Gulf_of_Mexico; Hawaii; NE_Pacific","Sériole couronnée","Medregal","","","",""
"American Lobster","Homarus americanus","42fd05","NW_Atlantic","Homard américain","Langosta americana","","","",""
"Atlantic Halibut","Hippoglossus hippoglossus","HAL","NW_Atlantic","Flétan de l'Atlantique","Fletán del Atlántico","","","",""
"Atlantic Herring","Clupea harengus","HER","NW_Atlantic","Hareng atlantique","Arenque atlántico","","","",""
"Atlantic Menhaden","Brevoortia tyrannus","MEN","NW_Atlantic","Menhaden atlantique","Menhaden atlántico","","","",""
"Atlantic Salmon","Salmo salar","ATS","Gulf_of_Alaska; NW_Atlantic","Saumon atlantique","Salmón atlántico","","","",""
"Atlantic Tarpon","Megalops atlanticus","654c4e","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Tarpon atlantique","Tarpón atlántico","","","",""
"Ballan Wrasse","Labrus bergylta","WRB","Mediterranean; NE_Atlantic","Vieille","Maragota","","","",""
"Barred Pargo","Hoplopagrus guentherii","7dc45c","NE_Pacific","Pargo barré","Pargo barrado","","","",""
"Barred Surfperch","Amphistichus argenteus","445f50","NE_Pacific","Embiotoca rayée","Mojarra rayada","","","",""
"Barrelfish","Hyperoglyphe perciformis","BARF","NW_Atlantic; US_Atlantic","Baril","","","","",""
"Bigeye Tuna","Thunnus obesus","BET","Hawaii; NE_Pacific; NW_Atlantic","Thon obèse","Atún patudo","","","",""
"Black Drum","Pogonias cromis","9d744d","Gulf_of_Mexico; NW_Atlantic","Tambour noir","Corvina negra","","","",""
"Black Durgon (Triggerfish)","Melichthys niger","820d6c","Hawaii; NE_Pacific","Baliste noir","Pez ballesta negro","","","",""
"Black Grouper","Mycteroperca bonaci","4b29c0","Caribbean; Gulf_of_Mexico; NW_Atlantic","Mérou noir","Mero negro","","","",""
"Black Seabream","Spondyliosoma cantharus","BRS","Mediterranean; NE_Atlantic","Dorade noire","Chopa","","","",""
"Blackbelly Rosefish","Helicolenus dactylopterus","BBR","Gulf_of_Mexico; NW_Atlantic; US_Atlantic","Sébaste à ventre noir","Gallineta","","","",""
"Blackfin Tuna","Thunnus atlanticus","fd782d","Caribbean; Gulf_of_Mexico; US_Atlantic","Thon à nageoires noires","Atún aleta negra","","","",""
"Blacktip Shark","Carcharhinus limbatus","9a2958","Gulf_of_Mexico; NW_Atlantic","Requin bordé","Tiburón puntas negras","","","",""
"Blue Crab","Callinectes sapidus","3c8dd6","Gulf_of_Mexico; NW_Atlantic","Crabe bleu","Cangrejo azul","","","",""
"Blue Marlin","Makaira nigricans","BUM","Caribbean; Hawaii; NW_Atlantic","Marlin bleu","Marlín azul","","","",""
"Blue Shark","Prionace glauca","9c1c48","NE_Pacific; NW_Atlantic","Requin peau bleue","Tintorera","","","",""
"Bluefin Trevally (Omilu)","Caranx melampygus","8ce959","Hawaii; NE_Pacific","Carangue bleue","Jurel azul","","","",""
"Blueline Tilefish","Caulolatilus microps","BLT","Gulf_of_Mexico; US_Atlantic","Tile poisson-ligne","","","","",""
"Bonefish","Albula vulpes","9ef164","Caribbean; Gulf_of_Mexico; US_Atlantic","Banane","Macabí","","","",""
"Brill","Scophthalmus rhombus","BLL","NE_Atlantic","Barbue","Remol","","","",""
"Bull Shark","Carcharhinus leucas","ad05cc","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Requin bouledogue","Tiburón toro","","","",""
"Cabezon","Scorpaenichthys marmoratus","b1d960","NE_Pacific","Chabot à tête large","Cabezón del Pacífico","","","",""
"California Corbina","Menticirrhus undulatus","639928","NE_Pacific","Corbina de Californie","Corbina californiana","","","",""
"California Sheephead","Semicossyphus pulcher","0162f6","NE_Pacific","Labre de Californie","Vieja californiana","","","",""
"California Yellowtail","Seriola lalandi","4f1db2","NE_Pacific","Sériole californienne","Pez limón (californiano)","","","",""
"Cero Mackerel","Scomberomorus regalis","ba1ee0","Caribbean; Gulf_of_Mexico; NW_Atlantic","Céro","Sierra cero","","","",""
