rectangle_code,center_lat,center_lon,distance_to_shore_km,is_coastal,sample_wkt
43P1,67.250000,14.500000,0.00,true,POINT(14.500000198258515 67.24999212798953)
36F4,57.500000,-6.000000,0.09,true,POINT(-5.999167393364102 57.50087248941578)
25O3,58.250000,11.500000,0.09,true,POINT(11.501218820360794 58.25073908022637)
38R5,40.500000,25.500000,0.13,true,POINT(25.500499929593495 40.498877106128894)
37K9,45.500000,13.500000,0.16,true,POINT(13.501753017270591 45.49926020107339)
37M0,38.000000,12.500000,0.28,true,POINT(12.503170496955386 37.99972668091091)
37R3,40.000000,24.000000,0.32,true,POINT(23.998288667934837 40.002616854475846)
26Q5,60.250000,22.500000,0.34,true,POINT(22.500105981269783 60.24693585150026)
34F4,56.500000,-6.000000,0.53,true,POINT(-6.006894365468026 56.496484539612005)
25N5,57.250000,16.500000,0.62,true,POINT(16.493130189832655 57.24462810198068)
34E5,53.500000,-6.000000,0.67,true,POINT(-6.0049536 53.494737)
34F6,56.500000,-7.000000,0.72,true,POINT(-6.9898982 56.5036482)
37K7,44.500000,14.500000,0.77,true,POINT(14.495538966976232 44.493466365391576)
26P1,58.750000,5.500000,0.82,true,POINT(5.493000248125108 58.74183920016949)
30Q4,55.000000,-3.500000,0.84,true,POINT(-3.5010473 54.9924991)
39E1,59.000000,-3.000000,0.94,true,POINT(-2.995440270413758 59.00934240916831)
29N5,59.250000,18.500000,0.98,true,POINT(18.495443703638152 59.23987488401354)
37L0,37.500000,13.000000,1.18,true,POINT(13.0104273 37.5069034)
25P2,58.250000,6.500000,1.21,true,POINT(6.503613766996228 58.261525390147455)
25J7,51.500000,0.500000,1.37,true,POINT(0.497966238199848 51.512421181473776)
28F2,47.000000,-2.000000,1.75,true,POINT(-2.017907556205986 47.01199311359973)
34D6,52.750000,-4.000000,1.83,true,POINT(-3.998781813868014 52.7335034981668)
25N4,57.750000,10.500000,1.95,true,POINT(10.507605664280295 57.73114719645976)
33E3,55.000000,-5.000000,2.18,true,POINT(-5.031156124432854 54.98966579774177)
24N4,57.250000,10.500000,2.18,true,POINT(10.512862459916207 57.21807262222692)
37I0,39.500000,2.500000,2.19,true,POINT(2.481046243932866 39.4859959651045)
26D9,53.500000,-10.000000,2.21,true,POINT(-10.0120743 53.4815128)
42P1,66.750000,13.500000,2.23,true,POINT(13.509441913220199 66.78159127589149)
33E5,53.000000,-6.000000,2.40,true,POINT(-6.015292069953902 52.97781575336019)
27D9,54.000000,-10.000000,2.40,true,POINT(-9.999597641609748 54.0215865919115)
23E1,43.750000,-7.500000,2.41,true,POINT(-7.5020239 43.7283389)
24E2,43.750000,-7.500000,2.41,true,POINT(-7.5020239 43.7283389)
23D6,39.000000,-9.000000,2.42,true,POINT(-8.98098627881172 38.983075247782935)
22D6,38.500000,-9.000000,2.61,true,POINT(-8.982097068093484 38.48035255389752)
32N5,60.750000,21.500000,2.66,true,POINT(21.4699813 60.7311466)
31N5,60.250000,20.500000,2.68,true,POINT(20.4948023 60.2739525)
35G5,56.000000,-5.000000,2.85,true,POINT(-4.9547013 55.9965681)
35F4,57.000000,-6.000000,3.19,true,POINT(-6.003097721286667 57.028780251244406)
38S4,38.000000,24.500000,3.31,true,POINT(24.4709579 37.9804548)
37F5,58.000000,-7.000000,3.32,true,POINT(-7.006039786494553 58.03169898353256)
37K8,45.000000,14.000000,3.32,true,POINT(14.0398869 45.0094262)
39K0,43.500000,7.000000,3.49,true,POINT(7.0323872 43.5224943)
21D8,42.500000,-9.000000,3.54,true,POINT(-9.0115454 42.5307071)
