table_name,column_name,data_type,character_maximum_length,is_nullable,column_default
activities_catalog_v1,slug,text,null,YES,null
activities_catalog_v1,title,text,null,YES,null
bio_parameter_bands,parameter,text,null,NO,null
bio_parameter_bands,level,USER-DEFINED,null,NO,null
bio_parameter_bands,threshold,double precision,null,NO,null
bio_parameter_bands,angler_interpretation,text,null,NO,null
bio_parameter_bands_staging,parameter,text,null,YES,null
bio_parameter_bands_staging,level,text,null,YES,null
bio_parameter_bands_staging,threshold,double precision,null,YES,null
bio_parameter_bands_staging,angler_interpretation,text,null,YES,null
datras_monthly_abundance_long,datras_row_id,uuid,null,YES,null
datras_monthly_abundance_long,rectangle_id,uuid,null,YES,null
datras_monthly_abundance_long,species_id,uuid,null,YES,null
datras_monthly_abundance_long,month_number,integer,null,YES,null
datras_monthly_abundance_long,month_name,text,null,YES,null
datras_monthly_abundance_long,abundance_value,numeric,null,YES,null
datras_monthly_abundance_long,data_source,text,null,YES,null
datras_monthly_abundance_long,last_updated,timestamp with time zone,null,YES,null
datras_monthly_abundance_long,created_at,timestamp with time zone,null,YES,null
findr_catch_entries,id,uuid,null,NO,gen_random_uuid()
findr_catch_entries,user_id,uuid,null,NO,null
findr_catch_entries,species_id,text,null,NO,null
findr_catch_entries,species_common_name,text,null,YES,null
findr_catch_entries,scientific_name,text,null,YES,null
findr_catch_entries,rectangle_code,text,null,NO,null
findr_catch_entries,prediction_impression_id,uuid,null,YES,null
findr_catch_entries,caught_at,timestamp with time zone,null,NO,null
findr_catch_entries,logged_at,timestamp with time zone,null,NO,now()
findr_catch_entries,quantity,integer,null,YES,1
findr_catch_entries,size_category,text,null,YES,null
findr_catch_entries,weight_kg,numeric,null,YES,null
findr_catch_entries,length_cm,numeric,null,YES,null
findr_catch_entries,bait_used,text,null,YES,null
findr_catch_entries,method,text,null,YES,null
findr_catch_entries,habitat_type,text,null,YES,null
findr_catch_entries,depth_range,text,null,YES,null
findr_catch_entries,notes,text,null,YES,null
findr_catch_entries,photo_urls,ARRAY,null,YES,null
findr_catch_entries,followed_findr_advice,boolean,null,YES,null
findr_catch_entries,used_recommended_bait,boolean,null,YES,null
findr_catch_entries,used_recommended_habitat,boolean,null,YES,null
findr_catch_entries,is_blank_trip,boolean,null,YES,false
findr_catch_entries,environmental_conditions,jsonb,null,YES,null
findr_catch_entries,created_at,timestamp with time zone,null,YES,now()
findr_catch_entries,updated_at,timestamp with time zone,null,YES,now()
findr_catch_entries,session_id,uuid,null,YES,null
findr_conditions_latest,rectangle_code,text,null,YES,null
findr_conditions_latest,id,uuid,null,YES,null
findr_conditions_latest,captured_at,timestamp with time zone,null,YES,null
findr_conditions_latest,sea_temp_c,numeric,null,YES,null
findr_conditions_latest,chlorophyll_mg_m3,numeric,null,YES,null
findr_conditions_latest,dissolved_oxygen_mg_l,numeric,null,YES,null
findr_conditions_latest,salinity_psu,numeric,null,YES,null
findr_conditions_latest,nitrate_umol_l,numeric,null,YES,null
findr_conditions_latest,phosphate_umol_l,numeric,null,YES,null
findr_conditions_latest,wave_height_m,numeric,null,YES,null
findr_conditions_latest,wind_speed_kts,numeric,null,YES,null
findr_conditions_latest,wind_direction_deg,numeric,null,YES,null
findr_conditions_latest,next_high_tide_iso,timestamp with time zone,null,YES,null
findr_conditions_latest,next_low_tide_iso,timestamp with time zone,null,YES,null
findr_conditions_latest,hourly_marine_json,jsonb,null,YES,null
findr_conditions_latest,daily_marine_json,jsonb,null,YES,null
findr_conditions_latest,source,text,null,YES,null
findr_conditions_latest,created_at,timestamp with time zone,null,YES,null
findr_conditions_snapshots,id,uuid,null,NO,gen_random_uuid()
findr_conditions_snapshots,rectangle_code,text,null,NO,null
findr_conditions_snapshots,captured_at,timestamp with time zone,null,NO,null
findr_conditions_snapshots,sea_temp_c,numeric,null,YES,null
findr_conditions_snapshots,chlorophyll_mg_m3,numeric,null,YES,null
findr_conditions_snapshots,dissolved_oxygen_mg_l,numeric,null,YES,null
findr_conditions_snapshots,salinity_psu,numeric,null,YES,null
findr_conditions_snapshots,nitrate_umol_l,numeric,null,YES,null
findr_conditions_snapshots,phosphate_umol_l,numeric,null,YES,null
findr_conditions_snapshots,wave_height_m,numeric,null,YES,null
findr_conditions_snapshots,wind_speed_kts,numeric,null,YES,null
findr_conditions_snapshots,wind_direction_deg,numeric,null,YES,null
findr_conditions_snapshots,next_high_tide_iso,timestamp with time zone,null,YES,null
findr_conditions_snapshots,next_low_tide_iso,timestamp with time zone,null,YES,null
findr_conditions_snapshots,hourly_marine_json,jsonb,null,YES,null
findr_conditions_snapshots,daily_marine_json,jsonb,null,YES,null
findr_conditions_snapshots,source,text,null,NO,'fallback'::text
findr_conditions_snapshots,created_at,timestamp with time zone,null,NO,now()
findr_fishing_sessions,id,uuid,null,NO,gen_random_uuid()
findr_fishing_sessions,user_id,uuid,null,NO,null
findr_fishing_sessions,rectangle_code,text,null,NO,null
findr_fishing_sessions,prediction_impression_id,uuid,null,YES,null
findr_fishing_sessions,started_at,timestamp with time zone,null,NO,null
findr_fishing_sessions,ended_at,timestamp with time zone,null,YES,null
findr_fishing_sessions,target_species_ids,ARRAY,null,YES,null
findr_fishing_sessions,outcome,text,null,YES,null
findr_fishing_sessions,notes,text,null,YES,null
findr_fishing_sessions,created_at,timestamp with time zone,null,YES,now()
findr_prediction_impressions,id,uuid,null,NO,gen_random_uuid()
findr_prediction_impressions,user_id,uuid,null,NO,null
findr_prediction_impressions,rectangle_code,text,null,NO,null
findr_prediction_impressions,viewed_at,timestamp with time zone,null,NO,now()
findr_prediction_impressions,prediction_date,date,null,NO,null
findr_prediction_impressions,ranked_species,jsonb,null,NO,null
findr_prediction_impressions,environmental_snapshot,jsonb,null,YES,null
findr_prediction_impressions,urgency_level,text,null,YES,null
findr_prediction_impressions,source,text,null,YES,null
findr_prediction_impressions,created_at,timestamp with time zone,null,YES,now()
findr_prediction_sessions,rectangle_code,text,null,NO,null
findr_prediction_sessions,prediction_date,date,null,NO,null
findr_prediction_sessions,language,text,null,NO,'en'::text
findr_prediction_sessions,payload,jsonb,null,NO,null
findr_prediction_sessions,fetched_at,timestamp with time zone,null,NO,now()
findr_prediction_sessions,expires_at,timestamp with time zone,null,YES,null
findr_rectangles,rectangle_code,text,null,NO,null
findr_rectangles,region,text,null,YES,null
findr_rectangles,center_lat,double precision,null,YES,null
findr_rectangles,center_lon,double precision,null,YES,null
findr_rectangles,distance_to_shore_km,numeric,null,YES,null
findr_rectangles,is_coastal,boolean,null,YES,false
findr_rectangles,created_at,timestamp with time zone,null,YES,now()
fishing_reports,id,uuid,null,NO,uuid_generate_v4()
fishing_reports,user_id,uuid,null,YES,null
fishing_reports,rectangle_id,uuid,null,YES,null
fishing_reports,fishing_date,date,null,NO,null
fishing_reports,fishing_duration_hours,numeric,null,YES,null
fishing_reports,species_caught,ARRAY,null,YES,'{}'::uuid[]
fishing_reports,total_fish_count,integer,null,YES,0
fishing_reports,fishing_success_rating,integer,null,YES,null
fishing_reports,weather_rating,integer,null,YES,null
fishing_reports,gear_used,ARRAY,null,YES,'{}'::text[]
fishing_reports,depth_fished,integer,null,YES,null
fishing_reports,notes,text,null,YES,null
fishing_reports,created_at,timestamp with time zone,null,YES,now()
geography_columns,f_table_catalog,name,null,YES,null
geography_columns,f_table_schema,name,null,YES,null
geography_columns,f_table_name,name,null,YES,null
geography_columns,f_geography_column,name,null,YES,null
geography_columns,coord_dimension,integer,null,YES,null
geography_columns,srid,integer,null,YES,null
geography_columns,type,text,null,YES,null
geometry_columns,f_table_catalog,character varying,256,YES,null
geometry_columns,f_table_schema,name,null,YES,null
geometry_columns,f_table_name,name,null,YES,null
geometry_columns,f_geometry_column,name,null,YES,null
geometry_columns,coord_dimension,integer,null,YES,null
geometry_columns,srid,integer,null,YES,null
geometry_columns,type,character varying,30,YES,null
ices_coastal_samples_staging,rectangle_code,text,null,NO,null
ices_coastal_samples_staging,center_lat,numeric,null,YES,null
ices_coastal_samples_staging,center_lon,numeric,null,YES,null
ices_coastal_samples_staging,distance_to_shore_km,numeric,null,YES,null
ices_coastal_samples_staging,is_coastal,boolean,null,YES,null
ices_coastal_samples_staging,sample_wkt,text,null,YES,null
ices_rectangles,id,uuid,null,NO,uuid_generate_v4()
ices_rectangles,rectangle_code,character varying,10,NO,null
ices_rectangles,lat_south,numeric,null,NO,null
ices_rectangles,lat_north,numeric,null,NO,null
ices_rectangles,lon_west,numeric,null,NO,null
ices_rectangles,lon_east,numeric,null,NO,null
ices_rectangles,center_lat,numeric,null,NO,null
ices_rectangles,center_lon,numeric,null,NO,null
ices_rectangles,region,character varying,50,NO,null
