table_schema,table_name,column_name,ref_schema,ref_table,ref_column,constraint_name
public,fishing_reports,rectangle_id,public,ices_rectangles,id,fishing_reports_rectangle_id_fkey
public,rectangle_coastal_sample,rectangle_id,public,ices_rectangles,id,rectangle_coastal_sample_rectangle_id_fkey
public,species_bio_bands,species_id,public,species,id,species_bio_bands_species_id_fkey
public,species_frequency,rectangle_id,public,ices_rectangles,id,species_frequency_rectangle_id_fkey
public,species_frequency,species_id,public,species,id,species_frequency_species_id_fkey
public,stormglass_bio_readings,rectangle_id,public,ices_rectangles,id,stormglass_bio_readings_rectangle_id_fkey
public,user_catches,rectangle_id,public,ices_rectangles,id,user_catches_rectangle_id_fkey
public,user_catches,species_id,public,species,id,user_catches_species_id_fkey
public,user_catches,user_id,public,users,id,user_catches_user_id_fkey
public,weather_predictions,rectangle_id,public,ices_rectangles,id,weather_predictions_rectangle_id_fkey
public,weather_predictions,species_id,public,species,id,weather_predictions_species_id_fkey
