schema,table_name,index_name,index_def,is_unique
public,bio_parameter_bands,idx_bands_param_threshold,"CREATE INDEX idx_bands_param_threshold ON public.bio_parameter_bands USING btree (parameter, threshold)",false
public,bio_parameter_bands,pk_bio_parameter_bands,"CREATE UNIQUE INDEX pk_bio_parameter_bands ON public.bio_parameter_bands USING btree (parameter, level)",true
public,fishing_reports,fishing_reports_pkey,CREATE UNIQUE INDEX fishing_reports_pkey ON public.fishing_reports USING btree (id),true
public,ices_coastal_samples_staging,ices_coastal_samples_staging_pkey,CREATE UNIQUE INDEX ices_coastal_samples_staging_pkey ON public.ices_coastal_samples_staging USING btree (rectangle_code),true
public,ices_rectangles,ices_rectangles_pkey,CREATE UNIQUE INDEX ices_rectangles_pkey ON public.ices_rectangles USING btree (id),true
public,ices_rectangles,ices_rectangles_rectangle_code_key,CREATE UNIQUE INDEX ices_rectangles_rectangle_code_key ON public.ices_rectangles USING btree (rectangle_code),true
public,ices_rectangles,idx_ices_rectangles_sample_geom,CREATE INDEX idx_ices_rectangles_sample_geom ON public.ices_rectangles USING gist (coastal_sample_point),false
public,ices_rectangles,idx_rectangle_code,CREATE INDEX idx_rectangle_code ON public.ices_rectangles USING btree (rectangle_code),false
public,ices_rectangles,idx_rectangles_location,"CREATE INDEX idx_rectangles_location ON public.ices_rectangles USING btree (center_lat, center_lon)",false
public,ices_rectangles,idx_rectangles_region,CREATE INDEX idx_rectangles_region ON public.ices_rectangles USING btree (region),false
public,interests,interests_pkey,CREATE UNIQUE INDEX interests_pkey ON public.interests USING btree (id),true
public,interests,interests_slug_key,CREATE UNIQUE INDEX interests_slug_key ON public.interests USING btree (slug),true
public,interests,interests_title_idx,CREATE INDEX interests_title_idx ON public.interests USING btree (title),false
public,pgrst_probe,pgrst_probe_pkey,CREATE UNIQUE INDEX pgrst_probe_pkey ON public.pgrst_probe USING btree (id),true
public,profiles,profiles_email_key,CREATE UNIQUE INDEX profiles_email_key ON public.profiles USING btree (email),true
