scientific_name,parameter,happy_bands,unhappy_bands
Dicentrarchus labrax,chlorophyll,"normal,high","very_low,low,very_high"
Dicentrarchus labrax,oxygen,"normal,high","very_low,low"
Dicentrarchus labrax,nitrate,"normal,high","very_low,low,very_high"
Dicentrarchus labrax,phosphate,"normal,high","very_low,low,very_high"
Dicentrarchus labrax,salinity,"normal,high","very_low,very_high"
Dicentrarchus labrax,surfaceTemperature,"normal,high","very_low,low,very_high"
Dicentrarchus labrax,phytoplankton,"normal,high","very_low,low,very_high"
Scomber scombrus,chlorophyll,"high,very_high","very_low,low"
Scomber scombrus,phytoplankton,"high,very_high","very_low,low"
Scomber scombrus,oxygen,"normal,high","very_low,low"
Scomber scombrus,surfaceTemperature,"normal,high","very_low,very_high"
Scomber scombrus,salinity,"normal,high",very_low
Scomber scombrus,nitrate,"normal,high",very_high
Scomber scombrus,phosphate,"normal,high",very_high
Clupea harengus,chlorophyll,"normal,high",very_low
Clupea harengus,phytoplankton,"normal,high",very_low
Clupea harengus,oxygen,"normal,high","very_low,low"
Clupea harengus,surfaceTemperature,"low,normal",very_high
Clupea harengus,salinity,"normal,high",very_low
Clupea harengus,nitrate,normal,very_high
Clupea harengus,phosphate,normal,very_high
Trachurus trachurus,chlorophyll,"high,very_high","very_low,low"
Trachurus trachurus,phytoplankton,"high,very_high","very_low,low"
Trachurus trachurus,oxygen,"normal,high","very_low,low"
Trachurus trachurus,surfaceTemperature,"normal,high","very_low,very_high"
Trachurus trachurus,salinity,"normal,high",very_low
Trachurus trachurus,nitrate,"normal,high",very_high
Trachurus trachurus,phosphate,"normal,high",very_high
Loligo vulgaris,chlorophyll,"low,normal",very_high
Loligo vulgaris,phytoplankton,"low,normal",very_high
Loligo vulgaris,oxygen,"high,very_high","very_low,low"
Loligo vulgaris,surfaceTemperature,"normal,high","very_low,very_high"
Loligo vulgaris,salinity,"normal,high",very_low
Loligo vulgaris,nitrate,"low,normal",very_high
Loligo vulgaris,phosphate,"low,normal",very_high
Conger conger,chlorophyll,normal,very_high
Conger conger,phytoplankton,normal,very_high
Conger conger,nitrate,normal,very_high
Conger conger,phosphate,normal,very_high
Conger conger,oxygen,"normal,high",very_low
Conger conger,surfaceTemperature,normal,very_high
Conger conger,salinity,"normal,high",very_low
Mullus surmuletus,surfaceTemperature,"high,very_high","very_low,low"
Mullus surmuletus,oxygen,"normal,high","very_low,low"
Mullus surmuletus,chlorophyll,"normal,high",very_low
Mullus surmuletus,phytoplankton,"normal,high",very_low
Mullus surmuletus,salinity,"normal,high",very_low
Mullus surmuletus,nitrate,"normal,high",very_high
Mullus surmuletus,phosphate,"normal,high",very_high
Sparus aurata,surfaceTemperature,high,"very_low,low,very_high"
Sparus aurata,oxygen,"normal,high","very_low,low"
Sparus aurata,chlorophyll,"low,normal",very_high
Sparus aurata,phytoplankton,"low,normal",very_high
Sparus aurata,salinity,"normal,high",very_low
Sparus aurata,nitrate,"low,normal",very_high
Sparus aurata,phosphate,"low,normal",very_high
Belone belone,chlorophyll,"low,normal",very_high
Belone belone,phytoplankton,"low,normal",very_high
Belone belone,oxygen,"high,very_high","very_low,low"
Belone belone,surfaceTemperature,"normal,high","very_low,very_high"
Belone belone,salinity,"normal,high",very_low
Belone belone,nitrate,"low,normal",very_high
Belone belone,phosphate,"low,normal",very_high
Labrus bergylta,chlorophyll,"low,normal",very_high
Labrus bergylta,phytoplankton,"low,normal",very_high
Labrus bergylta,oxygen,"normal,high",very_low
Labrus bergylta,surfaceTemperature,"normal,high","very_low,very_high"
Labrus bergylta,salinity,"normal,high",very_low
Labrus bergylta,nitrate,"low,normal",very_high
Labrus bergylta,phosphate,"low,normal",very_high
Chelon labrosus,salinity,"low,normal",very_high
Chelon labrosus,surfaceTemperature,"normal,high",very_low
Chelon labrosus,oxygen,"normal,high","very_low,low"
Chelon labrosus,chlorophyll,"normal,high",very_low
Chelon labrosus,phytoplankton,"normal,high",very_low
Chelon labrosus,nitrate,"normal,high",very_high
Chelon labrosus,phosphate,"normal,high",very_high
Mugil cephalus,salinity,"low,normal",very_high
Mugil cephalus,surfaceTemperature,"normal,high",very_low
Mugil cephalus,oxygen,"normal,high","very_low,low"
Mugil cephalus,chlorophyll,"normal,high",very_low
Mugil cephalus,phytoplankton,"normal,high",very_low
Mugil cephalus,nitrate,"normal,high",very_high
Mugil cephalus,phosphate,"normal,high",very_high
Gadus morhua,surfaceTemperature,"low,normal",very_high
Gadus morhua,oxygen,"normal,high","very_low,low"
Gadus morhua,chlorophyll,normal,very_high
Gadus morhua,phytoplankton,normal,very_high
Gadus morhua,salinity,"normal,high",very_low
Gadus morhua,nitrate,normal,very_high
Gadus morhua,phosphate,normal,very_high
