id,species_id,rectangle_id,week_of_year,quarter,base_frequency,confidence_level,optimal_temp_min,optimal_temp_max,optimal_wind_max,optimal_depth_min,optimal_depth_max,data_source,last_survey_year,sample_size,created_at,updated_at,user_reported_count,last_user_report,community_confidence
ba708a0e-2a3a-48da-aea3-4f451ccc430a,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,13,2,0.264,0.75,8.0,18.0,15,,,batch_1_first_half,2024,50,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
17563d06-cee4-4193-a5a2-4cc0938b02a2,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,14,2,0.264,0.75,8.0,18.0,15,,,batch_1_first_half,2024,51,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
24a812b2-d2d9-42fe-a9dd-b86694905334,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,15,2,0.264,0.75,8.0,18.0,15,,,batch_1_first_half,2024,52,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
33922e76-3b96-459c-a6d8-3ccb8764686a,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,16,2,0.264,0.75,8.0,18.0,15,,,batch_1_first_half,2024,53,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
a8be8471-4268-4e28-ad6f-0631fc295aa4,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,17,2,0.352,0.75,8.0,18.0,15,,,batch_1_first_half,2024,54,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
c7a36fd1-375a-4702-b54e-1069f174eb18,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,18,2,0.352,0.75,8.0,18.0,15,,,batch_1_first_half,2024,55,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
277d5a00-a3e0-4928-903a-13b571db02cc,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,19,3,0.352,0.75,8.0,18.0,15,,,batch_1_first_half,2024,56,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
d031cb4a-e753-4363-8368-21fe66c4c7c4,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,20,3,0.352,0.75,8.0,18.0,15,,,batch_1_first_half,2024,57,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
b9331523-d353-4e94-b320-c8779603ae06,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,21,3,0.418,0.75,8.0,18.0,15,,,batch_1_first_half,2024,58,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
f33cdda8-ddfc-4cb5-a8b2-c66481cd09d5,68d74eb8-dd61-4acb-8213-216bcd63e27a,c3811196-5171-4ec7-b644-4fad8187ab9c,22,3,0.418,0.75,8.0,18.0,15,,,batch_1_first_half,2024,59,2025-09-27 10:09:39.272251+00,2025-09-27 10:09:39.272251+00,0,,
