id,rectangle_code,species_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,data_source,last_updated,created_at
00308a33-4690-4e80-b2ea-f99e4499510a,25D7,plaice,0.53,0.53,0.53,0.74,0.74,0.74,1.00,1.00,1.00,0.52,0.52,0.52,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
004dfd27-b16d-4ae6-bb02-a49d8a599ccf,25O6,hake,0.92,0.92,0.92,0.56,0.56,0.56,1.00,1.00,1.00,0.87,0.87,0.87,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
00a014ce-b540-4b14-ab4c-b0736dd76285,37E1,haddock,1.00,1.00,1.00,0.57,0.57,0.57,0.26,0.26,0.26,0.82,0.82,0.82,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
00a25205-922c-4e44-b6d5-32572bd2495e,27I5,haddock,0.74,0.74,0.74,0.80,0.80,0.80,0.87,0.87,0.87,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
00fe1916-7a27-4446-bfe1-e76985150172,35E1,turbot,0.70,0.70,0.70,1.00,1.00,1.00,0.59,0.59,0.59,0.91,0.91,0.91,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0100bfd1-fd6e-4f98-b62c-f4ed045660d7,29T9,sole,0.81,0.81,0.81,1.00,1.00,1.00,0.88,0.88,0.88,0.94,0.94,0.94,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
012ef60d-c034-429a-a5f4-d855d057f460,34E1,cod,0.67,0.67,0.67,0.59,0.59,0.59,1.00,1.00,1.00,0.46,0.46,0.46,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
016928a8-73ce-496c-9fa7-eafee698b065,40F3,sole,0.50,0.50,0.50,1.00,1.00,1.00,0.57,0.57,0.57,0.47,0.47,0.47,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0188227e-18fb-48b2-abd1-0ad7fb2906ee,32E4,sea-bass,0.30,0.30,0.30,0.88,0.88,0.88,1.00,1.00,1.00,0.20,0.20,0.20,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
01c28a7d-6cb5-41d2-b94e-695e20bc1d78,41F2,turbot,0.70,0.70,0.70,1.00,1.00,1.00,0.59,0.59,0.59,0.91,0.91,0.91,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
01cb29b9-1d49-4f21-be11-edb34d18f488,25K8,herring,0.81,0.81,0.81,1.00,1.00,1.00,0.47,0.47,0.47,0.29,0.29,0.29,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
01e6df4b-7ab1-420c-8841-b5bd1fdb1648,33E1,mackerel,0.10,0.10,0.10,0.97,0.97,0.97,1.00,1.00,1.00,0.08,0.08,0.08,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
01ee095d-54a4-43d3-8b58-91df5661c091,26P5,pollack,1.00,1.00,1.00,0.87,0.87,0.87,0.70,0.70,0.70,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
