text_key,text_en,text_es,text_fr,text_pt,text_de,text_it,text_nl,text_pl,text_tr,text_sv,context,page,category
index.label._utils_weatherlabels_1,../utils/weatherLabels,,,,,,,,,,Line 29: } from '../utils/weatherLabels';,index,label
index.label.__2,: ''},,,,,,,,,,Line 51: destination: `/auth/callback${params.toString() ? `?${params.toString()}` : ''}`,index,label
index.label.indooralternative_3,indoorAlternative,,,,,,,,,,Line 86: evaluation: 'perfect' | 'good' | 'fair' | 'poor' | 'indoor' | 'indoorAlternative,index,label
index.label.windsock_svg_4,windsock.svg,,,,,,,,,,Line 100: iconName = 'windsock.svg';,index,label
index.label.wind_svg_5,wind.svg,,,,,,,,,,Line 106: iconName = 'wind.svg';,index,label
index.paragraph.drop_shadow_0px_0px_3px_rgba_2_6,"drop-shadow(0px 0px 3px rgba(255, 255, 255, 0.9)) drop-shadow(0px 0px 1px rgba(255, 255, 255, 1)) drop-shadow(0px 0px 6px rgba(255, 255, 255, 0.5))",,,,,,,,,,"Line 120: ? 'drop-shadow(0px 0px 3px rgba(255, 255, 255, 0.9)) drop-shadow(0px 0px 1px rgb",index,paragraph
index.label.no_store_7,no-store,,,,,,,,,,Line 189: cache: 'no-store',index,label
index.label.failed_to_fetch_weather_data_8,Failed to fetch weather data,,,,,,,,,,Line 193: throw new Error('Failed to fetch weather data');,index,label
index.label.marine_data_error__10,Marine data error:,,,,,,,,,,"Line 227: console.warn('Marine data error:', err);",index,label
index.nav.marine_conditions_are_temporar_11,Marine conditions are temporarily unavailable. We’ll show land‑based suggestions for now.,,,,,,,,,,"Line 229: setMarineError(""Marine conditions are temporarily unavailable. We’ll show land‑b",index,nav
index.label.12_00_00_12,12:00:00,,,,,,,,,,Line 276: currentEntry = dayEntries.find((e) => e.dt_txt.includes('12:00:00')) ?? dayEntri,index,label
index.label.en_gb_13,en-GB,,,,,,,,,,"Line 328: return isSameDay ? 'Today' : date.toLocaleDateString('en-GB', { weekday: 'long' ",index,label
index.label._label__14,", label:",,,,,,,,,,"Line 332: if (score >= 90) return { emoji: '💯', label: 'Perfect', color: '#10b981' };",index,label
index.label._color__15,", color:",,,,,,,,,,"Line 332: if (score >= 90) return { emoji: '💯', label: 'Perfect', color: '#10b981' };",index,label
index.label.01d_24,01d,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.01n_25,01n,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.02d_26,02d,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.02n_27,02n,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.03d_28,03d,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
