scientific_name;conservation_status;;
Acanthocybium solandri;;;
Alopias vulpinus;;;
Ammodytes tobianus;;;
Amphistichus argenteus;;;
Amphistichus rhodoterus;;;
Aprion virescens;;;
Archosargus probatocephalus;;;
Argyrosomus regius;;;
Atractoscion nobilis;;;
Belone belone;"IUCN: LC (global). Few restrictions; check local MLS.";;
Boops boops;LC;;
Brevoortia tyrannus;;;
Callinectes sapidus;;;
Caranx ignobilis;;;
Caranx melampygus;;;
Carcharhinus leucas;;;
Carcharhinus limbatus;;;
Caulolatilus microps;;;
Centrolabrus exoletus;;;
Centropomus undecimalis;;;
Chelidonichthys cuculus;;;
Chelidonichthys lucerna;IUCN: LC (global). Generally stable.;;
Chelon labrosus;IUCN: LC (global). Sensitive to water quality.;;
Citharichthys sordidus;;;
Clupea harengus;IUCN: LC (global). Managed with quotas and seasonal closures in North Atlantic.;;
Clupea pallasii;;;
Conger conger;"IUCN: LC (global). Slow-growing; handle and release large breeders where possible.";;
Coryphaena hippurus;;;
Ctenolabrus rupestris;LC;;
Cynoscion nebulosus;;;
Dentex dentex;IUCN: LC (global). Vulnerable locally from overfishing in Mediterranean.;;
Dicentrarchus labrax;"IUCN: LC (global). North-East Atlantic stocks tightly managed; observe local bag/season rules.";;
Dicentrarchus punctatus;;;
Diplodus sargus;;;
Diplodus vulgaris;;;
Doryteuthis opalescens;;;
Doryteuthis pealeii;;;
Eopsetta jordani;;;
Epinephelus aeneus;;;
Epinephelus marginatus;VU;;
Epinephelus morio;;;
Etelis oculatus;;;
Euthynnus alletteratus;;;
Eutrigla gurnardus;;;
Gadus morhua;IUCN: LC (global). Managed via quotas and size limits in NE Atlantic.;;
Galeocerdo cuvier;;;
Gilthead Seabream;LC;;
Helicolenus dactylopterus;;;
Hexagrammos decagrammus;;;
Hippoglossus hippoglossus;;;
Hippoglossus stenolepis;;;
Homarus americanus;;;
Hoplopagrus guentherii;;;
Hyperoglyphe perciformis;;;
Hyporthodus flavolimbatus;;;
Hyporthodus nigritus;;;
Hyporthodus niveatus;;;
Istiophorus platypterus;;;
Isurus oxyrinchus;;;
Kajikia audax;;;
Katsuwonus pelamis;;;
Labridae spp.;;;
Labrus bergylta;IUCN: LC (global). Locally protected when used as salmon farm cleaners.;;
Labrus mixtus;LC;;
Lepidorhombus whiffiagonis;;;
Lichia amia;;;
Limanda limanda;"IUCN: LC (global). Often small; many anglers release them.";;
Lobotes surinamensis;;;
Loligo vulgaris;"IUCN: Not evaluated globally; widely fished—local seasons/limits apply.";;
Lopholatilus chamaeleonticeps;;;
Lutjanus analis;;;
Lutjanus campechanus;;;
Lutjanus cyanopterus;;;
Lutjanus novemfasciatus;;;
Makaira nigricans;;;
Megalops atlanticus;;;
Melanogrammus aeglefinus;;;
Melichthys niger;;;
Menippe mercenaria;;;
Menticirrhus undulatus;;;
Merlangius merlangus;IUCN: LC (global). Abundant but small.;;
Merluccius bilinearis;;;
Metacarcinus magister;;;
Microstomus pacificus;;;
Molva molva;NE;;
Morone saxatilis;;;
Mugil cephalus;IUCN: LC (global). Stable but sensitive to estuary pollution.;;
Mullus surmuletus;IUCN: LC (global). Regional size limits common.;;
Mustelus asterias;;;
Mustelus mustelus;EN;;
Mycteroperca bonaci;;;
Mycteroperca jordani;;;
Mycteroperca microlepis;;;
Mycteroperca phenax;;;
Mycteroperca rosacea;;;
Nematistius pectoralis;;;
Oblada melanura;;;
Octopus vulgaris;LC;;
Ocyurus chrysurus;;;
Oncorhynchus gorbuscha;;;
Oncorhynchus keta;;;
Oncorhynchus kisutch;;;
Oncorhynchus mykiss;;;
Oncorhynchus nerka;;;
Oncorhynchus tshawytscha;;;
Ophiodon elongatus;;;
Pagellus bogaraveo;;;
Pagellus erythrinus;LC;;
Pagrus pagrus;"IUCN: LC (global). Locally overfished; respect bag limits.";;
Paralichthys dentatus;;;
Parupeneus multifasciatus;;;
Platichthys flesus;"IUCN: LC (global). Populations generally stable; local estuary protections exist.";;
Pleuronectes platessa;IUCN: LC (global). Common but subject to size/season rules.;;
Pogonias cromis;;;
Pollachius pollachius;IUCN: LC (global). Healthy NE Atlantic stocks.;;
Pollachius virens;IUCN: LC (global). Generally healthy stocks in NE Atlantic.;;
Polyprion americanus;;;
Pomatomus saltatrix;VU;;
Prionace glauca;;;
Pristipomoides aquilonaris;;;
Pseudopleuronectes americanus;;;
Rachycentron canadum;;;
Raja clavata;IUCN: NT in NE Atlantic, LC elsewhere. Slow to mature.;;
Raja microocellata;;;
Raja montagui;;;
Raja undulata;;;
Rhomboplites aurorubens;;;
Saithe/Pollock;;;
Salmo salar;;;
Salmo trutta;IUCN: LC (species). Wild anadromous runs vulnerable.;;
Sarda chiliensis;;;
Sarda sarda;LC;;
Sardina pilchardus;"IUCN: LC (global). Some regional stock variability; heed local limits.";;
Sarpa salpa;;;
Sciaenops ocellatus;;;
Scomber colias;LC;;
Scomber scombrus;"IUCN: LC (global). Highly migratory; seasonal quotas.";;
Scomberomorus cavalla;;;
Scomberomorus maculatus;;;
Scomberomorus regalis;;;
Scomberomorus sierra;;;
Scophthalmus maximus;"IUCN: LC (global). Strict MLS; prized flatfish.";;
Scophthalmus rhombus;LC;;
Scorpaena scrofa;;;
Scorpaenichthys marmoratus;;;
Scyliorhinus canicula;IUCN: LC (global). Slow-growing but widespread.;;
Scyliorhinus stellaris;VU;;
Semicossyphus pulcher;;;
Sepia officinalis;LC;;
Seriola dumerili;LC;;
Seriola lalandi;;;
Seriola rivoliana;;;
Serranus cabrilla;LC;;
Serranus scriba;;;
Solea solea;IUCN: LC (global). Managed with MLS and quotas.;;
Sparisoma cretense;;;
Sparus aurata;LC;;
Sphyraena sphyraena;LC;;
